item,valence,arousal,img,aoa,length,SUBTLWF,LgSUBTLWF,OLD,PLD,e2hit,e2fa,e2hminfa,e1hit,e1fa,e1hminfa,valstrength,e1e2hits,e1e2fas,e1e2hminfas,valxarousal
secret,5.33,4.14,3.7,3.33,6,109.51,3.75,1.90,2.20,.60,.13,.47,.63,.27,.37,.33,.62,.20,.42,1.37
section,5.05,3.75,3.7,4.79,7,27.33,3.14,1.90,1.80,.60,.33,.27,.67,.30,.37,.05,.63,.32,.32,.19
sector,4.67,4.00,3.5,5.88,6,7.06,2.56,1.80,1.65,.77,.27,.50,.83,.43,.40,.33,.80,.35,.45,1.32
secure,7.08,3.60,3.8,5.00,6,24.33,3.09,2.05,2.50,.73,.27,.47,.70,.23,.47,2.08,.72,.25,.47,7.49
sedan,5.05,3.39,6.0,5.76,5,1.76,1.96,1.85,2.05,.80,.13,.67,.73,.17,.57,.05,.77,.15,.62,.17
sedate,4.80,4.00,4.3,5.67,6,1.25,1.81,1.95,1.95,.83,.10,.73,.70,.23,.47,.20,.77,.17,.60,.80
segment,4.63,3.61,4.1,5.36,7,1.98,2.01,2.20,2.65,.73,.37,.37,.67,.40,.27,.37,.70,.38,.32,1.34
seismic,4.45,4.32,3.3,6.03,7,.61,1.51,3.40,2.90,.77,.07,.70,.83,.17,.67,.55,.80,.12,.68,2.38
seizure,3.05,4.67,6.0,5.45,7,3.73,2.28,2.85,1.95,.83,.23,.60,.87,.20,.67,1.95,.85,.22,.63,9.11
seldom,,,2.3,5.48,6,3.27,2.23,2.95,2.30,.80,.17,.63,.63,.33,.30,,.72,.25,.47,
select,6.10,4.05,3.3,4.30,6,3.53,2.26,2.00,1.95,.70,.37,.33,.50,.30,.20,1.10,.60,.33,.27,4.46
selfish,3.30,4.57,3.4,4.27,7,15.90,2.91,2.75,2.55,.87,.20,.67,.60,.10,.50,1.70,.73,.15,.58,7.77
seltzer,4.33,2.90,3.5,5.97,,,,,,.93,.07,.87,.67,.23,.43,.67,.80,.15,.65,1.94
senate,3.38,3.63,4.8,5.64,6,6.49,2.52,1.95,1.70,.80,.07,.73,.70,.13,.57,1.62,.75,.10,.65,5.88
senile,3.14,3.68,3.2,5.91,6,1.73,1.95,2.00,2.70,.73,.13,.60,.67,.17,.50,1.86,.70,.15,.55,6.84
sensor,4.60,3.47,4.0,5.18,6,2.25,2.06,1.80,1.55,.67,.27,.40,.67,.23,.43,.40,.67,.25,.42,1.39
sentence,5.13,3.09,4.8,3.64,8,20.53,3.02,2.60,2.65,.63,.17,.47,.57,.17,.40,.13,.60,.17,.43,.40
sentry,4.16,3.59,3.7,5.94,6,1.37,1.85,2.15,1.95,.80,.17,.63,.77,.23,.53,.84,.78,.20,.58,3.02
septic,3.50,3.76,4.3,6.00,6,1.41,1.86,2.20,2.15,.97,.07,.90,.87,.27,.60,1.50,.92,.17,.75,5.64
sequel,5.76,3.35,3.5,5.09,6,1.76,1.96,2.60,2.25,.77,.20,.57,.63,.40,.23,.76,.70,.30,.40,2.55
sequence,5.84,2.90,3.3,5.18,8,8.39,2.63,2.70,2.55,.73,.20,.53,.70,.40,.30,.84,.72,.30,.42,2.44
serene,6.90,4.67,3.6,5.76,6,1.24,1.81,2.05,1.95,.93,.17,.77,.67,.23,.43,1.90,.80,.20,.60,8.87
sergeant,3.89,5.10,5.4,5.15,8,62.94,3.51,2.80,2.80,.90,.13,.77,.77,.20,.57,1.11,.83,.17,.67,5.66
series,5.23,3.62,3.9,4.76,6,20.16,3.01,1.95,1.80,.80,.10,.70,.66,.10,.55,.23,.73,.10,.63,.83
sermon,4.86,3.10,5.3,4.85,6,2.73,2.15,1.95,1.85,.67,.13,.53,.77,.13,.63,.14,.72,.13,.58,.43
serpent,3.45,4.83,6.1,5.27,7,1.94,2.00,2.40,2.55,.83,.13,.70,.77,.30,.47,1.55,.80,.22,.58,7.49
servant,4.00,3.77,6.1,4.79,7,12.14,2.79,2.40,2.55,.67,.23,.43,.77,.20,.57,1.00,.72,.22,.50,3.77
service,6.83,2.95,3.7,4.55,7,79.92,3.61,2.60,1.80,.67,.27,.40,.63,.13,.50,1.83,.65,.20,.45,5.40
session,5.10,3.38,3.5,4.94,7,13.29,2.83,2.15,1.80,.53,.23,.30,.63,.40,.23,.10,.58,.32,.27,.34
settle,5.62,3.40,3.3,4.58,6,42.02,3.33,1.60,1.35,.80,.27,.53,.67,.47,.20,.62,.73,.37,.37,2.11
seven,4.90,3.80,6.4,2.61,5,104.45,3.73,1.80,1.75,.77,.00,.77,.50,.07,.43,.10,.63,.03,.60,.38
severe,3.21,5.43,3.8,4.82,6,9.41,2.68,1.80,2.20,.70,.43,.27,.63,.40,.23,1.79,.67,.42,.25,9.72
sewage,2.33,4.09,6.4,5.24,6,1.18,1.79,2.30,2.00,.77,.13,.63,.70,.17,.53,2.67,.73,.15,.58,10.92
sewer,2.90,3.39,6.1,4.39,5,4.71,2.38,1.65,1.65,.83,.27,.57,.67,.10,.57,2.10,.75,.18,.57,7.12
shabby,4.11,4.05,4.1,5.12,6,1.71,1.94,2.15,1.65,.77,.23,.53,.70,.13,.57,.89,.73,.18,.55,3.60
shadow,5.07,3.10,6.4,3.52,6,21.18,3.03,2.25,1.75,.47,.07,.40,.60,.17,.43,.07,.53,.12,.42,.22
shallow,3.86,3.00,5.2,4.27,7,5.90,2.48,2.00,1.45,.80,.23,.57,.63,.30,.33,1.14,.72,.27,.45,3.42
shaman,5.21,4.17,3.8,6.12,6,2.51,2.11,2.05,1.75,.77,.13,.63,.70,.03,.67,.21,.73,.08,.65,.88
shampoo,5.75,3.18,6.7,3.06,7,4.22,2.33,3.00,2.00,.93,.17,.77,.53,.13,.40,.75,.73,.15,.58,2.39
shatter,3.44,5.29,5.4,4.79,7,1.41,1.86,1.65,1.20,.73,.33,.40,.73,.30,.43,1.56,.73,.32,.42,8.25
shelter,6.50,3.25,5.9,4.39,7,11.67,2.78,1.90,1.85,.77,.27,.50,.67,.30,.37,1.50,.72,.28,.43,4.88
sherbet,6.36,4.65,5.7,4.06,7,.57,1.48,2.85,2.55,.83,.03,.80,.77,.00,.77,1.36,.80,.02,.78,6.32
sheriff,4.44,4.30,6.6,4.03,7,61.08,3.49,2.85,1.90,.73,.13,.60,.77,.07,.70,.56,.75,.10,.65,2.41
shilling,5.36,3.76,3.6,5.88,8,1.47,1.88,1.80,1.45,.80,.07,.73,.57,.13,.43,.36,.68,.10,.58,1.35
shimmer,6.95,5.37,5.6,4.85,7,.55,1.46,2.05,1.85,.77,.23,.53,.67,.27,.40,1.95,.72,.25,.47,10.47
shiner,4.84,4.00,4.5,5.42,,,,,,.70,.03,.67,.77,.03,.73,.16,.73,.03,.70,.64
shingle,4.45,3.71,6.0,5.33,7,.75,1.59,2.15,1.75,.87,.13,.73,.90,.17,.73,.55,.88,.15,.73,2.04
shipment,5.26,3.91,5.5,5.18,8,6.31,2.51,2.85,2.60,.53,.10,.43,.47,.07,.40,.26,.50,.08,.42,1.02
shiver,3.61,4.65,5.8,4.18,6,1.53,1.90,1.85,1.60,.67,.17,.50,.67,.30,.37,1.39,.67,.23,.43,6.46
shoddy,4.14,4.80,3.1,5.88,6,.73,1.58,2.65,1.70,.90,.03,.87,.67,.03,.63,.86,.78,.03,.75,4.13
shogun,3.63,3.72,4.1,5.85,6,.67,1.54,2.55,2.60,.90,.00,.90,.77,.03,.73,1.37,.83,.02,.82,5.10
shortage,5.10,2.96,3.5,5.03,8,2.63,2.13,2.70,2.65,.63,.13,.50,.63,.07,.57,.10,.63,.10,.53,.30
shoulder,,,6.6,3.21,8,26.20,3.13,2.45,1.60,.67,.13,.53,.60,.13,.47,,.63,.13,.50,
shovel,4.80,3.50,6.9,3.67,6,6.84,2.54,1.85,1.80,.70,.13,.57,.67,.27,.40,.20,.68,.20,.48,.70
shower,7.19,4.15,6.5,3.21,6,41.12,3.32,1.80,1.25,.67,.23,.43,.63,.13,.50,2.19,.65,.18,.47,9.09
shrapnel,3.60,4.96,5.0,6.12,8,2.22,2.06,3.00,2.85,.60,.07,.53,.80,.03,.77,1.40,.70,.05,.65,6.94
shudder,4.10,4.48,4.8,5.15,7,1.12,1.76,2.40,1.35,.83,.37,.47,.80,.27,.53,.90,.82,.32,.50,4.03
shutter,4.70,3.38,5.6,5.15,7,1.45,1.88,1.80,1.35,.80,.50,.30,.90,.30,.60,.30,.85,.40,.45,1.01
shuttle,5.65,3.81,6.4,5.06,7,5.53,2.45,2.30,1.60,.70,.37,.33,.77,.37,.40,.65,.73,.37,.37,2.48
sibling,7.27,5.16,6.1,4.00,7,.96,1.70,2.00,2.00,.77,.07,.70,.70,.13,.57,2.27,.73,.10,.63,11.71
sickle,3.95,3.50,4.0,5.48,6,.55,1.46,1.75,1.50,.83,.20,.63,.70,.17,.53,1.05,.77,.18,.58,3.68
siding,,,5.3,5.00,6,1.33,1.84,1.80,1.30,.77,.00,.77,.60,.00,.60,,.68,.00,.68,
signal,5.27,4.05,5.6,4.52,6,37.76,3.28,2.45,2.00,.63,.10,.53,.53,.17,.37,.27,.58,.13,.45,1.09
silent,5.14,3.21,4.2,3.39,6,23.00,3.07,2.00,1.95,.63,.17,.47,.47,.37,.10,.14,.55,.27,.28,.45
silly,6.72,4.86,4.5,3.00,5,57.10,3.46,1.55,1.10,.77,.23,.53,.63,.20,.43,1.72,.70,.22,.48,8.36
silo,4.59,2.90,5.5,5.52,4,.94,1.69,1.70,1.85,.87,.03,.83,.70,.17,.53,.41,.78,.10,.68,1.19
silver,7.48,4.00,6.6,4.03,6,31.75,3.21,1.90,1.90,.77,.17,.60,.57,.13,.43,2.48,.67,.15,.52,9.92
simmer,5.86,3.18,4.8,5.18,6,1.71,1.94,1.75,1.45,.77,.17,.60,.70,.20,.50,.86,.73,.18,.55,2.73
simple,7.17,2.71,2.8,3.91,6,89.31,3.66,1.60,1.65,.77,.20,.57,.57,.23,.33,2.17,.67,.22,.45,5.88
simply,,,2.9,3.97,6,46.31,3.37,1.80,1.85,.60,.17,.43,.50,.30,.20,,.55,.23,.32,
sincere,6.86,3.91,2.7,5.24,7,5.98,2.49,2.50,2.55,.70,.30,.40,.67,.10,.57,1.86,.68,.20,.48,7.27
single,5.39,3.85,5.0,4.21,6,72.08,3.57,1.55,1.65,.73,.17,.57,.73,.10,.63,.39,.73,.13,.60,1.50
sinus,3.57,3.23,5.7,5.18,5,1.75,1.95,1.80,1.75,.83,.17,.67,.80,.17,.63,1.43,.82,.17,.65,4.62
siren,3.80,6.10,5.6,4.15,5,6.55,2.52,1.85,1.75,.83,.20,.63,.63,.30,.33,1.20,.73,.25,.48,7.32
sirloin,7.38,4.00,6.4,5.33,7,.61,1.51,3.00,2.95,.83,.07,.77,.80,.10,.70,2.38,.82,.08,.73,9.52
sister,7.00,3.86,6.3,2.42,6,180.53,3.96,1.80,1.70,.57,.10,.47,.73,.10,.63,2.00,.65,.10,.55,7.72
sizzle,6.14,4.39,5.8,4.64,6,.63,1.52,1.90,1.70,.80,.17,.63,.67,.17,.50,1.14,.73,.17,.57,5.00
skillet,5.85,3.24,6.8,4.67,7,1.22,1.80,2.50,2.00,.97,.13,.83,.73,.20,.53,.85,.85,.17,.68,2.75
skinny,5.36,4.27,6.2,3.58,6,13.98,2.85,2.15,1.90,.73,.07,.67,.70,.07,.63,.36,.72,.07,.65,1.54
skirmish,4.25,5.11,4.6,5.58,8,.55,1.46,3.15,2.70,.83,.17,.67,.73,.13,.60,.75,.78,.15,.63,3.83
skittish,4.27,4.95,3.6,5.55,8,.63,1.52,3.30,1.90,.87,.17,.70,.87,.20,.67,.73,.87,.18,.68,3.61
slander,2.45,5.68,2.5,5.85,7,1.25,1.81,1.75,1.65,.70,.17,.53,.63,.17,.47,2.55,.67,.17,.50,14.48
slaughter,2.33,5.77,6.0,5.36,9,5.45,2.45,3.15,1.90,.80,.27,.53,.87,.30,.57,2.67,.83,.28,.55,15.41
slogan,4.90,3.45,4.5,5.61,6,2.49,2.11,2.55,2.45,.77,.13,.63,.57,.17,.40,.10,.67,.15,.52,.34
slumber,6.24,2.73,4.8,4.48,7,2.75,2.15,2.00,2.05,.90,.40,.50,.67,.33,.33,1.24,.78,.37,.42,3.39
smitten,,,3.4,5.45,7,1.22,1.80,2.45,1.95,.70,.27,.43,.73,.23,.50,,.72,.25,.47,
smother,2.68,4.75,4.5,5.06,7,1.18,1.79,2.10,1.85,.73,.07,.67,.57,.03,.53,2.32,.65,.05,.60,11.02
smuggle,3.89,5.09,4.6,5.33,7,2.00,2.01,2.40,1.90,.77,.33,.43,.77,.20,.57,1.11,.77,.27,.50,5.65
snafu,4.60,4.36,1.5,6.27,,,,,,.67,.07,.60,.70,.07,.63,.40,.68,.07,.62,1.74
snooty,3.05,4.65,3.9,5.09,6,.63,1.52,1.90,1.95,.77,.13,.63,.73,.13,.60,1.95,.75,.13,.62,9.07
snorkel,6.00,4.28,6.6,4.61,7,.61,1.51,2.90,2.90,.93,.07,.87,.83,.10,.73,1.00,.88,.08,.80,4.28
snuggle,7.63,5.54,6.0,3.73,7,1.29,1.83,2.45,1.85,.83,.27,.57,.73,.27,.47,2.63,.78,.27,.52,14.57
sober,5.95,4.32,4.8,5.79,5,10.10,2.71,1.90,1.75,.90,.07,.83,.73,.23,.50,.95,.82,.15,.67,4.10
soccer,5.84,4.68,6.9,3.15,6,12.55,2.81,2.00,1.40,.77,.07,.70,.73,.13,.60,.84,.75,.10,.65,3.93
social,6.08,5.16,3.7,4.79,6,33.39,3.23,2.20,1.90,.60,.13,.47,.53,.17,.37,1.08,.57,.15,.42,5.57
socket,4.45,4.04,5.8,4.88,6,1.61,1.92,1.70,1.60,.80,.10,.70,.70,.13,.57,.55,.75,.12,.63,2.22
soda,5.47,4.77,6.8,3.21,4,19.84,3.01,1.80,1.80,.63,.13,.50,.86,.17,.69,.47,.75,.15,.59,2.24
sofa,6.26,2.90,6.9,3.79,4,5.86,2.48,1.80,1.75,.60,.10,.50,.70,.20,.50,1.26,.65,.15,.50,3.65
soiree,6.38,3.85,2.5,6.24,6,.75,1.59,2.20,1.90,.73,.03,.70,.67,.07,.60,1.38,.70,.05,.65,5.31
solace,6.37,4.35,2.5,5.73,6,1.53,1.90,1.95,1.80,.73,.13,.60,.70,.17,.53,1.37,.72,.15,.57,5.96
solar,6.00,3.87,5.3,5.03,5,4.63,2.37,1.80,1.55,.70,.33,.37,.73,.27,.47,1.00,.72,.30,.42,3.87
soldier,5.45,5.90,6.7,4.03,7,38.92,3.30,2.35,2.20,.87,.17,.70,.70,.27,.43,.45,.78,.22,.57,2.66
solemn,4.66,2.90,3.0,5.85,6,2.20,2.05,2.55,1.75,.83,.17,.67,.77,.17,.60,.34,.80,.17,.63,.99
solid,5.65,2.36,5.2,3.88,5,19.57,3.00,1.80,1.70,.57,.30,.27,.60,.23,.37,.65,.58,.27,.32,1.53
solo,5.91,4.12,4.9,4.61,4,8.55,2.64,1.70,1.40,.77,.23,.53,.83,.27,.57,.91,.80,.25,.55,3.75
solvent,4.79,2.77,4.1,5.97,7,.55,1.46,2.45,2.65,.77,.20,.57,.73,.20,.53,.21,.75,.20,.55,.58
someone,,,4.3,3.61,7,446.12,4.36,3.00,3.55,.53,.13,.40,.63,.17,.47,,.58,.15,.43,
something,,,2.2,3.45,9,1500.16,4.88,2.95,1.95,.87,.10,.77,.52,.14,.38,,.69,.12,.57,
somewhere,,,2.9,4.00,9,111.53,3.75,3.85,3.60,.77,.13,.63,.57,.07,.50,,.67,.10,.57,
sonar,5.32,4.11,5.0,5.70,5,4.14,2.33,1.90,2.35,.80,.13,.67,.77,.07,.70,.32,.78,.10,.68,1.32
sonic,5.32,4.82,4.6,4.76,5,1.94,2.00,1.90,1.70,.90,.17,.73,.77,.23,.53,.32,.83,.20,.63,1.54
sonnet,5.86,3.33,4.4,5.73,6,.76,1.60,2.05,1.80,.83,.27,.57,.93,.17,.77,.86,.88,.22,.67,2.86
sordid,3.38,3.87,1.7,6.09,6,2.49,2.11,2.50,1.75,.63,.13,.50,.70,.10,.60,1.62,.67,.12,.55,6.27
sorrow,2.95,3.55,4.3,4.94,6,6.86,2.55,2.10,1.85,.70,.30,.40,.63,.13,.50,2.05,.67,.22,.45,7.28
sorry,4.81,4.62,3.7,2.76,5,1167.96,4.78,1.95,1.75,.87,.03,.83,.69,.03,.66,.19,.78,.03,.74,.88
sovereign,4.96,3.68,2.8,6.21,9,2.51,2.11,3.70,2.55,.97,.13,.83,.77,.13,.63,.04,.87,.13,.73,.15
spandex,4.60,4.17,6.3,5.33,,,,,,.93,.03,.90,.77,.03,.73,.40,.85,.03,.82,1.67
spaniel,5.67,4.15,4.5,5.70,7,.84,1.64,2.65,2.80,.73,.03,.70,.83,.13,.70,.67,.78,.08,.70,2.78
sparkle,7.10,4.74,6.3,3.48,7,1.67,1.93,2.10,2.15,.80,.23,.57,.80,.33,.47,2.10,.80,.28,.52,9.95
sparrow,6.58,3.78,6.5,4.61,7,2.61,2.13,2.60,2.00,.80,.37,.43,.80,.20,.60,1.58,.80,.28,.52,5.97
spasm,3.17,5.24,5.1,5.42,5,1.10,1.76,1.90,2.70,.77,.03,.73,.83,.07,.76,1.83,.80,.05,.75,9.59
spastic,3.95,5.05,4.0,5.97,7,.61,1.51,2.80,2.80,.67,.13,.53,.57,.07,.50,1.05,.62,.10,.52,5.30
spatter,4.10,3.40,4.7,5.06,7,1.18,1.79,1.65,1.55,.83,.17,.67,.67,.27,.40,.90,.75,.22,.53,3.06
special,7.50,3.48,3.0,3.58,7,148.57,3.88,2.50,1.80,.57,.17,.40,.60,.20,.40,2.50,.58,.18,.40,8.70
species,5.26,3.73,4.7,4.88,7,13.65,2.84,2.30,2.75,.77,.23,.53,.77,.07,.70,.26,.77,.15,.62,.97
spectral,5.53,4.95,2.5,5.94,8,.63,1.52,2.70,2.65,.63,.17,.47,.53,.13,.40,.53,.58,.15,.43,2.62
spectrum,6.65,3.05,4.8,5.79,8,2.16,2.05,3.35,3.10,.93,.27,.67,.87,.37,.50,1.65,.90,.32,.58,5.03
spider,3.35,6.91,7.0,2.91,6,10.10,2.71,1.95,1.80,.73,.07,.67,.73,.13,.60,1.65,.73,.10,.63,11.40
spiffy,6.35,4.50,4.1,5.12,,,,,,.83,.20,.63,.77,.17,.60,1.35,.80,.18,.62,6.08
spinach,5.81,3.43,6.5,3.97,7,2.55,2.12,2.90,2.75,.77,.03,.73,.63,.03,.60,.81,.70,.03,.67,2.78
spinster,4.14,4.00,3.8,5.97,8,.96,1.70,2.75,2.70,.83,.03,.80,.73,.17,.57,.86,.78,.10,.68,3.44
spiral,6.40,5.00,6.0,4.48,6,1.78,1.96,2.40,2.40,.77,.13,.63,.77,.27,.50,1.40,.77,.20,.57,7.00
spirit,7.00,5.03,4.4,4.45,6,49.35,3.40,2.05,1.90,.70,.03,.67,.70,.27,.43,2.00,.70,.15,.55,10.06
splatter,4.57,5.37,5.8,4.48,8,.86,1.65,1.90,1.80,.83,.23,.60,.77,.23,.53,.43,.80,.23,.57,2.31
splendid,7.62,3.86,3.0,5.09,8,11.67,2.78,3.20,2.85,.93,.20,.73,.60,.13,.47,2.62,.77,.17,.60,10.11
splendor,6.95,4.00,2.8,5.55,8,1.18,1.79,2.90,2.00,.73,.37,.37,.57,.27,.30,1.95,.65,.32,.33,7.80
sprinkle,6.72,3.55,6.2,3.85,8,1.45,1.88,2.60,2.65,.90,.33,.57,.80,.23,.57,1.72,.85,.28,.57,6.11
squadron,4.40,4.25,4.2,6.09,8,4.39,2.35,3.25,3.10,.87,.20,.67,.83,.13,.70,.60,.85,.17,.68,2.55
squander,3.55,3.95,2.8,6.12,8,.59,1.49,2.70,2.45,.83,.10,.73,.67,.20,.47,1.45,.75,.15,.60,5.73
squeamish,3.63,5.45,4.2,5.33,9,.88,1.66,3.80,2.60,.87,.20,.67,.80,.17,.63,1.37,.83,.18,.65,7.47
squirrel,5.71,4.48,6.7,3.36,8,5.47,2.45,2.85,3.35,.80,.13,.67,.80,.17,.63,.71,.80,.15,.65,3.18
stable,5.20,3.11,5.3,4.48,6,13.20,2.83,1.65,1.70,.93,.43,.50,.77,.37,.40,.20,.85,.40,.45,.62
stagger,3.42,4.38,4.2,5.36,7,.59,1.49,2.05,1.85,.70,.30,.40,.70,.33,.37,1.58,.70,.32,.38,6.92
stampede,4.48,6.20,6.1,4.67,8,1.33,1.84,2.65,2.55,.77,.23,.53,.83,.21,.62,.52,.80,.22,.58,3.22
standard,4.76,3.61,3.2,4.70,8,18.43,2.97,2.75,1.95,.60,.23,.37,.47,.33,.13,.24,.53,.28,.25,.87
staple,5.00,4.48,6.6,4.21,6,1.12,1.76,1.80,1.85,.80,.30,.50,.83,.40,.43,.00,.82,.35,.47,.00
stapler,5.25,3.29,6.5,4.21,7,.86,1.65,1.90,2.80,.77,.17,.60,.73,.27,.47,.25,.75,.22,.53,.82
stardom,5.85,5.45,3.9,5.45,7,.61,1.51,3.00,2.40,.70,.07,.63,.63,.13,.50,.85,.67,.10,.57,4.63
stardust,6.84,4.40,4.8,5.18,8,.78,1.61,3.00,3.80,.67,.03,.63,.80,.00,.80,1.84,.73,.02,.72,8.10
starlet,6.26,4.18,3.5,5.67,7,.59,1.49,1.90,2.35,.80,.10,.70,.90,.17,.73,1.26,.85,.13,.72,5.27
startle,4.65,4.40,4.0,4.76,7,1.18,1.79,1.95,2.30,.67,.13,.53,.47,.23,.23,.35,.57,.18,.38,1.54
statement,5.32,3.70,3.5,4.79,9,29.24,3.17,2.90,2.65,.63,.20,.43,.57,.10,.47,.32,.60,.15,.45,1.18
static,4.41,3.33,4.4,4.97,6,4.98,2.41,2.00,2.00,.63,.20,.43,.63,.13,.50,.59,.63,.17,.47,1.96
station,5.50,3.00,6.1,4.24,7,79.08,3.61,1.95,1.90,.73,.33,.40,.73,.17,.57,.50,.73,.25,.48,1.50
statue,5.95,2.82,6.5,4.24,6,10.59,2.73,1.75,2.15,.97,.27,.70,.87,.50,.37,.95,.92,.38,.53,2.68
stature,5.70,3.57,3.3,5.64,7,1.67,1.93,2.20,2.20,.80,.27,.53,.80,.30,.50,.70,.80,.28,.52,2.50
status,4.89,3.83,3.5,5.12,6,14.71,2.88,1.85,2.05,.80,.17,.63,.63,.37,.27,.11,.72,.27,.45,.42
statute,5.18,3.65,3.5,5.48,7,1.90,1.99,2.40,2.40,.87,.23,.63,.87,.30,.57,.18,.87,.27,.60,.66
steady,6.67,3.00,3.8,4.82,6,22.71,3.06,1.90,1.80,.63,.23,.40,.50,.20,.30,1.67,.57,.22,.35,5.01
stellar,5.95,4.33,3.1,5.76,7,.80,1.62,2.60,1.70,.77,.23,.53,.67,.23,.43,.95,.72,.23,.48,4.11
sterile,4.57,4.47,4.7,5.52,7,2.18,2.05,2.40,2.10,.80,.43,.37,.80,.33,.47,.43,.80,.38,.42,1.92
sterling,5.89,5.32,4.7,5.76,8,2.22,2.06,1.90,1.95,.83,.10,.73,.77,.23,.53,.89,.80,.17,.63,4.73
sternum,4.45,3.71,5.9,5.91,7,.80,1.62,2.75,2.70,.97,.13,.83,.80,.17,.63,.55,.88,.15,.73,2.04
steward,5.06,2.57,4.6,5.73,7,2.75,2.15,2.40,1.85,.80,.10,.70,.63,.10,.53,.06,.72,.10,.62,.15
stickler,3.74,3.82,3.0,5.85,8,.90,1.67,2.50,2.90,.87,.10,.77,.80,.20,.60,1.26,.83,.15,.68,4.81
stigma,3.90,5.24,3.4,5.91,6,.53,1.45,2.80,2.80,.73,.07,.67,.73,.23,.50,1.10,.73,.15,.58,5.76
stingy,2.53,4.73,4.2,5.06,6,1.24,1.81,1.80,2.70,.70,.13,.57,.83,.07,.77,2.47,.77,.10,.67,11.68
stockade,2.67,4.67,3.5,5.97,8,1.45,1.88,2.95,2.45,.67,.13,.53,.73,.20,.53,2.33,.70,.17,.53,10.88
stomach,4.53,3.76,6.6,3.36,7,33.82,3.24,2.90,2.15,.83,.03,.80,.70,.17,.53,.47,.77,.10,.67,1.77
storage,4.95,3.68,5.7,4.48,7,8.86,2.66,2.55,2.50,.87,.43,.43,.77,.33,.43,.05,.82,.38,.43,.18
story,7.27,3.52,5.2,2.76,5,220.78,4.05,1.70,1.55,.63,.07,.57,.63,.13,.50,2.27,.63,.10,.53,7.99
straddle,5.62,5.00,5.8,5.21,8,.51,1.43,2.70,2.00,.77,.20,.57,.80,.13,.67,.62,.78,.17,.62,3.10
stranger,4.09,5.80,5.5,3.30,8,27.00,3.14,2.00,2.60,.77,.37,.40,.53,.10,.43,.91,.65,.23,.42,5.28
strangle,3.00,5.43,5.8,4.76,8,4.37,2.35,2.10,2.50,.83,.20,.63,.67,.27,.40,2.00,.75,.23,.52,10.86
stretcher,3.10,3.82,5.6,5.09,9,2.22,2.06,2.70,2.55,.63,.00,.63,.63,.10,.53,1.90,.63,.05,.58,7.26
stricken,2.79,4.59,4.5,5.82,8,1.47,1.88,2.65,2.60,.70,.10,.60,.70,.17,.53,2.21,.70,.13,.57,10.14
stroller,5.75,3.22,6.3,3.27,8,.88,1.66,2.65,2.25,.73,.03,.70,.77,.07,.70,.75,.75,.05,.70,2.42
strudel,6.11,3.70,5.5,5.79,7,.92,1.68,2.85,2.50,.80,.10,.70,.83,.23,.60,1.11,.82,.17,.65,4.11
struggle,3.00,5.90,4.2,4.64,8,13.37,2.83,2.45,2.20,.70,.40,.30,.90,.30,.60,2.00,.80,.35,.45,11.80
stubborn,3.74,4.13,4.1,4.52,8,10.86,2.74,3.50,2.90,.67,.13,.53,.47,.33,.13,1.26,.57,.23,.33,5.20
student,6.41,4.25,6.4,3.64,7,43.04,3.34,2.75,2.85,.67,.13,.53,.60,.10,.50,1.41,.63,.12,.52,5.99
study,5.78,2.55,5.2,4.27,5,49.04,3.40,1.85,1.70,.63,.20,.43,.60,.40,.20,.78,.62,.30,.32,1.99
stumble,3.76,4.76,5.1,4.73,7,1.96,2.00,1.85,1.80,.80,.33,.47,.70,.30,.40,1.24,.75,.32,.43,5.90
stupid,2.84,4.34,3.8,3.24,6,184.41,3.97,2.45,2.15,.67,.03,.63,.57,.10,.47,2.16,.62,.07,.55,9.37
sturdy,6.19,3.27,4.6,4.94,6,1.69,1.94,2.05,2.10,.70,.17,.53,.70,.17,.53,1.19,.70,.17,.53,3.89
subdue,3.17,3.30,3.5,5.88,6,.80,1.62,2.55,2.45,.80,.27,.53,.73,.37,.37,1.83,.77,.32,.45,6.04
subject,5.33,4.20,4.0,3.97,7,36.96,3.28,2.60,3.60,.80,.30,.50,.60,.40,.20,.33,.70,.35,.35,1.39
sublet,5.27,4.21,2.2,5.97,6,.59,1.49,2.00,2.85,.63,.13,.50,.53,.30,.23,.27,.58,.22,.37,1.14
sublime,5.95,3.82,3.2,5.97,7,1.45,1.88,2.70,2.65,.83,.20,.63,.83,.17,.67,.95,.83,.18,.65,3.63
submit,3.90,3.91,4.1,4.88,6,5.53,2.45,2.60,2.75,.67,.23,.43,.70,.43,.27,1.10,.68,.33,.35,4.30
subscribe,5.43,4.26,3.9,5.33,9,.86,1.65,2.90,3.10,.77,.33,.43,.80,.23,.57,.43,.78,.28,.50,1.83
substance,4.29,3.62,4.2,5.00,9,7.14,2.56,3.15,3.25,.73,.23,.50,.73,.20,.53,.71,.73,.22,.52,2.57
subtle,5.62,3.37,3.3,5.64,6,6.94,2.55,1.90,1.45,.83,.43,.40,.83,.37,.47,.62,.83,.40,.43,2.09
subtract,4.25,3.96,4.5,3.82,8,.55,1.46,3.05,2.85,.73,.07,.67,.60,.13,.47,.75,.67,.10,.57,2.97
suburb,5.52,4.25,5.4,4.97,6,.59,1.49,2.60,2.80,.70,.10,.60,.67,.17,.50,.52,.68,.13,.55,2.21
